Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","33uF","CP_Tantalum_Case-B_EIA-3528-21_Reflow",86.530000,-27.190000,90.000000,top
"C2","33uF","CP_Tantalum_Case-B_EIA-3528-21_Reflow",86.530000,-41.320000,90.000000,top
"D1","1N5819","D_SOD-123",86.730000,-32.400000,270.000000,top
"D2","1N5819","D_SOD-123",86.970000,-46.550000,270.000000,top
"L1","47mH","L_12x12mm_h6mm",78.170000,-27.790000,270.000000,top
"L2","47mH","L_12x12mm_h6mm",78.180000,-41.680000,270.000000,top
"R1","0.2","R_1206",90.820000,-27.970000,0.000000,top
"R2","0.2","R_1206",90.700000,-41.970000,0.000000,top
"U1","PT4115","SOT-89-5_Housing",90.830000,-31.920000,90.000000,top
"U2","PT4115","SOT-89-5_Housing",90.840000,-46.040000,90.000000,top
