Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","33uF","C_1210",86.390000,-27.390000,90.000000,top
"C2","33uF","C_1210",86.370000,-41.170000,90.000000,top
"C3","33uF","C_1210",86.370000,-55.090000,90.000000,top
"C4","33uF","C_1210",86.390000,-68.790000,90.000000,top
"D1","1N5819","D_SOD-123",86.730000,-32.400000,270.000000,top
"D2","1N5819","D_SOD-123",86.690000,-46.000000,270.000000,top
"D3","1N5819","D_SOD-123",86.710000,-59.800000,270.000000,top
"D4","1N5819","D_SOD-123",86.690000,-73.500000,270.000000,top
"L1","47mH","L_12x12mm_h6mm",78.180000,-27.940000,270.000000,top
"L2","47mH","L_12x12mm_h6mm",78.180000,-41.680000,270.000000,top
"L3","47mH","L_12x12mm_h6mm",78.180000,-55.430000,270.000000,top
"L4","47mH","L_12x12mm_h6mm",78.190000,-69.180000,270.000000,top
"R1","0.2","R_1206",90.500000,-27.880000,0.000000,top
"R2","0.2","R_1206",90.420000,-41.420000,0.000000,top
"R3","0.2","R_1206",90.500000,-55.200000,0.000000,top
"R4","0.2","R_1206",90.660000,-68.930000,0.000000,top
"U1","PT4115","SOT-89-5_Housing",90.560000,-31.900000,90.000000,top
"U2","PT4115","SOT-89-5_Housing",90.560000,-45.490000,90.000000,top
"U3","PT4115","SOT-89-5_Housing",90.560000,-59.270000,90.000000,top
"U4","PT4115","SOT-89-5_Housing",90.560000,-73.010000,90.000000,top
